School Name,Entries
Aberdeen Central,0
Academy of Higher Learning,0
Acton-Boxborough,3
Advanced Technologies Academy,0
Albany,0
Albuquerque Academy,1
Alief Taylor,2
Allen Homeschool,1
Altamont,3
American Heritage Boca Delray,3
American Heritage Plantation,4
Amicitia,1
Anderson,4
Annie Wright,0
Apple Valley,5
Appleton East,4
Arbor View,0
Arcadia,1
Archbishop Mitty,7
Ardrey Kell,2
Arizona College Prep,1
Arroyo Grande,2
Ashland,2
Athens,2
Bainbridge,0
Bakersfield,3
Barbers Hill,0
Barrington,4
BASIS Mesa,2
BASIS Scottsdale,0
BASIS Shavano,1
BASIS Silicon,4
Beckman,2
Bellaire,1
Bellarmine,3
Benjamin Franklin,0
Benjamin N Cardozo,0
Bentonville,4
Bentonville West,3
Bergen County,2
Bettendorf,0
Bingham,0
Blair Academy,1
Blue Valley Southwest,0
Bolivar,0
Brentwood,18
Brentwood Middle,0
Bridgewater-Raritan,0
Bronx Science,8
Brophy College Prep,5
Brown,0
Byram Hills,4
Byron Nelson,1
Cabot,4
Calhoun Homeschool,0
Cambridge Rindge,2
Canyon Crest,13
Canyon Springs,0
Cape Fear Academy,1
Carmel Valley Independent,13
Carnegie Vanguard,1
Carpe Diem,1
Cary Academy,1
Catalina Foothills,2
Cedar Park,0
Cedar Ridge,0
Centennial,2
Centennial,1
Center For Talented Youth,0
Cerritos,0
Chaminade,6
Chandler,0
Chandler Prep,0
Chantilly,2
Chaparral,0
Charles E Smith,0
Charlotte Catholic,1
Charlotte Latin,2
Cherokee,3
Cherokee,0
Cherry Creek,1
Christ Episcopal,0
Christopher Columbus,2
Citrus Valley,0
Claremont,0
Clark,0
Clark,1
Clear Brook,0
Clements,5
Clovis North,0
College Prep,0
Collegiate,1
Colleyville Heritage,7
Concord Carlisle,0
Concordia Lutheran,0
Connally,2
Coral Glades,0
Coral Science,0
Coral Springs,0
Coppell,0
Copper Hills,0
Corona Del Sol,1
Crandall,0
Crosby,1
Crossroads,0
CTCS,1
