"School Name","School URL","School Teams","Errors"
"AM Consolidated (TX)","https://hspf17.debatecoaches.org//AM%20Consolidated/","[]","No debaters listed"
"Abernathy (TX)","https://hspf17.debatecoaches.org//Abernathy/","[]","No debaters listed"
"Acton-Boxborough (MA)","https://hspf17.debatecoaches.org//Acton-Boxborough/","[]","No debaters listed"
"ACORN Community (NY)","https://hspf17.debatecoaches.org//ACORN%20Community/","[]","No debaters listed"
"Agape Leaders Prep (NY)","https://hspf17.debatecoaches.org//Agape%20Leaders%20Prep/","[]","No debaters listed"
"Airline (LA)","https://hspf17.debatecoaches.org//Airline/","[]","No debaters listed"
"Albuquerque Academy (NM)","https://hspf17.debatecoaches.org//Albuquerque%20Academy/","[]","No debaters listed"
"Alpharetta (GA)","https://hspf17.debatecoaches.org//Alpharetta/","[]","No debaters listed"
"Alpine (UT)","https://hspf17.debatecoaches.org//Alpine/","[]","No debaters listed"
"Alta (UT)","https://hspf17.debatecoaches.org//Alta/","[]","No debaters listed"
"Altamont (AL)","https://hspf17.debatecoaches.org//Altamont/","[]","No debaters listed"
"Anderson (TX)","https://hspf17.debatecoaches.org//Anderson/","['Anderson John David Erard - Callum Harralson', 'Anderson Mark Foster - Cody Builta']",""
"Andrew (TX)","https://hspf17.debatecoaches.org//Andrew/","[]","No debaters listed"
"Appleton East (WI)","https://hspf17.debatecoaches.org//Appleton%20East/","[]","No debaters listed"
"Appleton (MD)","https://hspf17.debatecoaches.org//Appleton/","[]","No debaters listed"
"Arapahoe (CO)","https://hspf17.debatecoaches.org//Arapahoe/","[]","No debaters listed"
"Arcadia (CA)","https://hspf17.debatecoaches.org//Arcadia/","[]","No debaters listed"
"Archbishop Mitty (CA)","https://hspf17.debatecoaches.org//Archbishop%20Mitty/","['Archbishop Mitty Rohit Ghoshal - Shriya Nandwani', 'Archbishop Mitty Jolie Leung - Teja Veeramacheneni', 'Archbishop Mitty Roshni Varma - Darya Kaviani', 'Archbishop Mitty Shree Pari - Tushar Agashe']",""
"Ardrey Kell (NC)","https://hspf17.debatecoaches.org//Ardrey%20Kell/","['Ardrey Kell Callan Hazeldine - Christian Brown', 'Ardrey Kell Aleks Trivanovic - Avi Agrawal']",""
"Ashland (OR)","https://hspf17.debatecoaches.org//Ashland/","[]","No debaters listed"
"Asian Debate League (INT)","https://hspf17.debatecoaches.org//Asian%20Debate%20League/","[]","No debaters listed"
"Athens (TX)","https://hspf17.debatecoaches.org//Athens/","[]","No debaters listed"
"Atholton (MD)","https://hspf17.debatecoaches.org//Atholton/","[]","No debaters listed"
"Austin (TX)","https://hspf17.debatecoaches.org//Austin/","['Austin Victor Li - Daniel Tan']",""
"Austin SFA (TX)","https://hspf17.debatecoaches.org//Austin%20SFA/","[]","No debaters listed"
"Bakersfield (CA)","https://hspf17.debatecoaches.org//Bakersfield/","['Bakersfield Miller McCraw - Mahima Kunani', 'Bakersfield Sukh Kaur - Shivanghi Goswami']",""
"Balboa (CA)","https://hspf17.debatecoaches.org//Balboa/","[]","No debaters listed"
"Ballard (WA)","https://hspf17.debatecoaches.org//Ballard/","[]","No debaters listed"
"Baltimore City College (MD)","https://hspf17.debatecoaches.org//Baltimore%20City%20College/","[]","No debaters listed"
"Barbers Hill (TX)","https://hspf17.debatecoaches.org//Barbers%20Hill/","[]","No debaters listed"
"Barstow (MO)","https://hspf17.debatecoaches.org//Barstow/","[]","No debaters listed"
"BASIS Chandler (AZ)","https://hspf17.debatecoaches.org//BASIS%20Chandler/","[]","No debaters listed"
"BASIS DC (DC)","https://hspf17.debatecoaches.org//BASIS%20DC/","[]","No debaters listed"
"Beacon (NY)","https://hspf17.debatecoaches.org//Beacon/","[]","No debaters listed"
"Beacon Academy (IL)","https://hspf17.debatecoaches.org//Beacon%20Academy/","[]","No debaters listed"
"Beckman (CA)","https://hspf17.debatecoaches.org//Beckman/","[]","No debaters listed"
"Bellaire (TX)","https://hspf17.debatecoaches.org//Bellaire/","['Bellaire Alysa Bonno - Jacob Babe', 'Bellaire Shamika Potha - Michael BROWN']",""
"Bellarmine (CA)","https://hspf17.debatecoaches.org//Bellarmine/","[]","No debaters listed"
"Bentonville (AR)","https://hspf17.debatecoaches.org//Bentonville/","['Bentonville Katy Branch - Sol Halle', 'Bentonville Alex Keogh - Brice Douglas', 'Bentonville Katy Branch - Andrew Van Slooten']",""
"Berkeley Prep (FL)","https://hspf17.debatecoaches.org//Berkeley%20Prep/","[]","No debaters listed"
"Berkner High School (TX)","https://hspf17.debatecoaches.org//Berkner/","[]","No debaters listed"
"Bethel Park (PA)","https://hspf17.debatecoaches.org//Bethel%20Park/","[]","No debaters listed"
"Bexley (OH)","https://hspf17.debatecoaches.org//Bexley/","[]","No debaters listed"
"Bingham (UT)","https://hspf17.debatecoaches.org//Bingham/","[]","No debaters listed"
"Bishop Guertin (NH)","https://hspf17.debatecoaches.org//Bishop%20Guertin/","[]","No debaters listed"
"Bishop Kelly (ID)","https://hspf17.debatecoaches.org//Bishop%20Kelly/","[]","No debaters listed"
"Bishop Loughlin (NY)","https://hspf17.debatecoaches.org//Bishop%20Loughlin/","[]","No debaters listed"
"Bishop O'Dowd (CA)","https://hspf17.debatecoaches.org//Bishop%20ODowd/","[]","No debaters listed"
"Blaine (MN)","https://hspf17.debatecoaches.org//Blaine/","[]","No debaters listed"
"Blake (MN)","https://hspf17.debatecoaches.org//Blake/","['Blake Anika Mirza - Connor Yu', 'Blake Elisa Lopez - Eva Motolinia', 'Blake Thomas Gill - Eva Motolinia', 'Blake Daniel Barra - Jack Johnson', 'Blake Nicolas Barra - Morgan Swigert', 'Blake Jack Johnson - Izzy Wu']",""
"Bloomington (MN)","https://hspf17.debatecoaches.org//Bloomington/","[]","No debaters listed"
"Blue Springs (MO)","https://hspf17.debatecoaches.org//Blue%20Springs/","[]","No debaters listed"
"Blue Valley North (KS)","https://hspf17.debatecoaches.org//Blue%20Valley%20North/","[]","No debaters listed"
"Blue Valley Northwest (KS)","https://hspf17.debatecoaches.org//Blue%20Valley%20Northwest/","[]","No debaters listed"
"Blue Valley Southwest (KS)","https://hspf17.debatecoaches.org//Blue%20Valley%20Southwest/","[]","No debaters listed"
"Blue Valley West (KS)","https://hspf17.debatecoaches.org//Blue%20Valley%20West/","[]","No debaters listed"
"Boca Raton (FL)","https://hspf17.debatecoaches.org//Boca%20Raton/","[]","No debaters listed"
"Bolivar (MO)","https://hspf17.debatecoaches.org//Bolivar/","[]","No debaters listed"
"Bonneville (ID)","https://hspf17.debatecoaches.org//Bonneville/","[]","No debaters listed"
"Boston Debate League (MA)","https://hspf17.debatecoaches.org//Boston%20Debate%20League/","[]","No debaters listed"
"Boston Latin (MA)","https://hspf17.debatecoaches.org//Boston%20Latin/","[]","No debaters listed"
"Bravo Medical (CA)","https://hspf17.debatecoaches.org//Bravo%20Medical/","[]","No debaters listed"
"Brentwood (CA)","https://hspf17.debatecoaches.org//Brentwood/","[]","No debaters listed"
"Briar Woods (VA)","https://hspf17.debatecoaches.org//Briar%20Woods/","[]","No debaters listed"
"Brighton (UT)","https://hspf17.debatecoaches.org//Brighton/","[]","No debaters listed"
"Broad Run (VA)","https://hspf17.debatecoaches.org//Broad%20Run/","[]","No debaters listed"
"Bronx Law (NY)","https://hspf17.debatecoaches.org//Bronx%20Law/","[]","No debaters listed"
"Bronx Science (NY)","https://hspf17.debatecoaches.org//Bronx%20Science/","[]","No debaters listed"
"Brooklyn Technical (NY)","https://hspf17.debatecoaches.org//Brooklyn%20Technical/","[]","No debaters listed"
"Brophy College Prep (AZ)","https://hspf17.debatecoaches.org//Brophy%20College%20Prep/","[]","No debaters listed"
"Brown (KY)","https://hspf17.debatecoaches.org//Brown/","[]","No debaters listed"
"Buhler (KS)","https://hspf17.debatecoaches.org//Buhler/","[]","No debaters listed"
"Byron Nelson (TX)","https://hspf17.debatecoaches.org//Byron%20Nelson/","[]","No debaters listed"
